upc,date_adj,haspromo,units_adj
689,20210704,0,7
8831300451,20210704,0,5
7431202832,20210704,0,1
20709500000,20210704,0,2
1115330124,20210704,0,2
72450036736,20210704,0,2
4695,20210704,0,2
6011,20210704,0,3
3800024383,20210704,0,2
4154828745,20210704,0,1
3700044980,20210704,0,1
2362753112,20210704,0,2
3663201944,20210704,0,3
76361508580,20210704,0,0
7410003712870,20210704,0,0
2700061216,20210704,0,0
7172008503,20210704,0,0
1816,20210704,0,0
7426502301,20210704,0,0
3331422222,20210704,0,0
81369502104,20210704,0,0
89632100959,20210704,0,0
7236827424,20210704,0,0
81410001301,20210704,0,3
64857000490,20210704,0,1
7005735161,20210704,0,2
20285000000,20210704,0,6
5100027655,20210704,0,1
8949796347,20210704,0,0
75365671875,20210704,0,0
6906500085,20210704,0,0
69969400113,20210704,0,0
89802800125,20210704,0,0
79954001153,20210704,0,0
87409700023,20210704,0,0
28100400000,20210704,0,0
2260022329,20210704,0,0
7007457802,20210704,0,0
74228780211,20210704,0,0
20669000000,20210704,0,0
82699804099,20210704,0,0
8281591558,20210704,0,0
3680041554,20210704,0,0
68765217229,20210704,0,0
7047043332,20210704,0,0
7896004400327,20210704,0,0
8992779257506,20210704,0,0
82699803060,20210704,0,0
1996266063,20210704,0,0
20093300000,20210704,0,0
5201010103056,20210704,0,0
30045020431,20210704,0,0
4133102133,20210704,0,0
7441056200014,20210704,0,0
7128100760,20210704,0,0
8000050026489,20210704,0,0
32390004120,20210704,0,0
61864531525,20210704,0,0
74595730150,20210704,0,0
1200017149,20210704,0,0
85785300217,20210704,0,0
81083302272,20210704,0,0
4116701056,20210704,0,0
4525511848,20210704,0,0
3732312724,20210704,0,0
25089600000,20210704,0,0
8517800068,20210704,0,0
3060320240,20210704,0,0
4138809701,20210704,0,0
7506226026,20210704,0,0
85983600385,20210704,0,0
7410880058,20210704,0,0
8658100760,20210704,0,0
4012920061,20210704,0,0
61930910111,20210704,0,0
3384400393,20210704,0,0
1428631001,20210704,0,0
3010011233,20210704,0,0
76908700429,20210704,0,0
7059460138,20210704,0,0
85123900205,20210704,0,0
9370930110,20210704,0,0
1553210110,20210704,0,0
76777800101,20210704,0,0
9849313150,20210704,0,0
1674100070,20210704,0,0
3680010616,20210704,0,0
2391315942,20210704,0,0
84654805999,20210704,0,0
8992453249,20210704,0,0
85804500444,20210704,0,0
73525701326,20210704,0,0
2756806022,20210704,0,0
64944000312,20210704,0,0
7702011046932,20210705,0,0
60448500590,20210705,0,0
7240008060,20210705,0,0
7314907470,20210705,0,0
82058198346,20210705,0,0
72649316242,20210705,0,0
1410005187,20210705,0,0
3398403720,20210705,1,0
87659300004,20210705,0,0
4218702647,20210705,0,0
81582901006,20210705,0,0
4118804161,20210705,0,0
4900004713,20210705,0,0
70366910920,20210705,0,0
7763621510,20210705,0,0
5833601114,20210705,0,0
7431202832,20210705,0,0
4154828745,20210705,0,0
76361508580,20210705,0,0
7410003712870,20210705,0,0
2700061216,20210705,0,0
7172008503,20210705,0,0
1816,20210705,0,0
7426502301,20210705,0,0
3331422222,20210705,0,0
4850020183,20210705,1,100
3150000239,20210705,0,9
3700077131,20210705,0,15
3663201944,20210705,0,4
3114235900,20210705,0,113
1480058205,20210705,0,42
81829001698,20210705,0,97
1920095871,20210705,0,12
3800040340,20210705,0,51
3889749111,20210705,0,22
7630172216,20210705,0,8
7231000098,20210705,0,5
85000867808,20210705,0,5
60265217058,20210705,0,5
81410001301,20210705,0,2
1820005989,20210705,0,11
7618300310,20210705,0,55
7680853360,20210705,0,19
1450001352,20210705,0,17
4100000271,20210705,0,11
20285000000,20210705,0,8
7169140528,20210705,0,3
64044530001,20210705,0,3
7756728323,20210705,1,24
64857000490,20210705,0,1
5100027655,20210705,0,2
4722307103,20210705,0,6
1115314850,20210705,0,12
7236839361,20210705,0,2
3732312724,20210705,0,3
4190007919,20210705,0,26
81369502104,20210705,0,0
7236827424,20210705,0,0
7005735161,20210705,0,0
8949796347,20210705,0,0
75365671875,20210705,0,0
6906500085,20210705,0,0
69969400113,20210705,0,0
89802800125,20210705,0,0
79954001153,20210705,0,0
87409700023,20210705,0,0
28100400000,20210705,0,0
7007457802,20210705,0,0
8281591558,20210705,0,0
3680041554,20210705,0,0
68765217229,20210705,0,0
62,20210705,0,119
1111587132,20210705,0,106
20748700000,20210705,0,31
27082900000,20210705,0,198
1600043779,20210705,1,15
1115306112,20210705,0,14
4450020181,20210705,0,6
81029100230,20210705,0,15
7040400117,20210705,1,25
689,20210705,0,10
76738703420,20210705,0,3
28681700000,20210705,0,11
5150000087,20210705,0,14
85564800637,20210705,0,2
4100073148,20210705,0,7
73525701326,20210705,0,1
4100000890,20210705,0,2
7127910808,20210705,0,29
7910052040,20210705,0,2
20108500000,20210705,0,27
26585100000,20210705,0,3
82699804099,20210705,0,2
4133101501,20210705,0,3
4695,20210705,0,3
60265217011,20210705,0,8
4450096650,20210705,0,11
7778202396,20210705,0,7
3800078704,20210705,0,12
1200017232,20210705,1,6
79042923230,20210705,0,6
7790100404,20210705,0,2
7756700224,20210705,1,9
3746608323,20210705,0,13
24028600000,20210705,0,7
8831300451,20210705,0,3
60155799248,20210705,0,2
1115330124,20210705,0,4
4650076953,20210705,0,4
76777800101,20210705,0,4
7506200109,20210705,0,3
28083500000,20210705,0,5
70942181178,20210705,0,2
1380014333,20210705,0,3
25080000000,20210705,0,36
20521800000,20210705,0,13
2800023317,20210705,0,4
4525511848,20210705,0,2
7323000033,20210705,0,4
7800000911,20210705,0,1
85954600425,20210705,0,4
3700044980,20210705,0,3
5210003639,20210705,0,5
85977200512,20210705,0,3
74228780211,20210705,0,3
89632100959,20210705,0,3
2558300422,20210705,0,5
20709500000,20210705,0,4
3620001498,20210705,0,5
84654802072,20210705,0,1
64556901017,20210705,0,6
9849313150,20210705,0,2
1200017149,20210705,0,1
21483900000,20210705,0,5
3800024383,20210705,0,6
85123900205,20210705,0,1
84654802077,20210705,0,3
80000000052,20210705,0,2
20669000000,20210705,0,2
3000031597,20210705,0,7
4133112741,20210705,0,6
2362753112,20210705,0,2
8017137000058,20210705,0,2
5201010103056,20210705,0,1
89618000102,20210705,0,2
1820053308,20210705,0,3
78533177830,20210705,0,1
9426241343,20210705,0,1
20282800000,20210705,0,2
85804500444,20210705,0,3
1500000639,20210705,0,3
6011,20210705,0,2
4116701056,20210705,0,4
76348538956,20210705,0,3
72450036736,20210705,0,1
3663850002,20210705,0,1
84654805999,20210705,0,2
2260022329,20210705,0,1
81594400541,20210705,0,2
4133102133,20210705,0,1
7065000404,20210705,0,2
64499613990,20210705,0,1
7047043332,20210705,0,0
7896004400327,20210705,0,0
8992779257506,20210705,0,0
82699803060,20210705,0,0
1996266063,20210705,0,0
20093300000,20210705,0,0
30045020431,20210705,0,0
7441056200014,20210705,0,0
7128100760,20210705,0,0
8000050026489,20210705,0,0
32390004120,20210705,0,0
61864531525,20210705,0,0
74595730150,20210705,0,0
85785300217,20210705,0,0
81083302272,20210705,0,0
25089600000,20210705,0,0
8517800068,20210705,0,0
3060320240,20210705,0,0
4138809701,20210705,0,0
7506226026,20210705,0,0
85983600385,20210705,0,0
7410880058,20210705,0,0
8658100760,20210705,0,0
4012920061,20210705,0,0
61930910111,20210705,0,0
3384400393,20210705,0,0
1428631001,20210705,0,0
3010011233,20210705,0,0
76908700429,20210705,0,0
7059460138,20210705,0,0
9370930110,20210705,0,0
1553210110,20210705,0,0
1674100070,20210705,0,0
3680010616,20210705,0,0
2391315942,20210705,0,0
8992453249,20210705,0,0
2756806022,20210705,0,0
64944000312,20210705,0,0
7702011046932,20210706,0,0
60448500590,20210706,0,0
82058198346,20210706,0,0
1410005187,20210706,0,0
3398403720,20210706,1,0
87659300004,20210706,0,0
4218702647,20210706,0,0
4900004713,20210706,0,0
70366910920,20210706,0,0
7763621510,20210706,0,0
5833601114,20210706,0,0
4154828745,20210706,0,0
76361508580,20210706,0,0
7410003712870,20210706,0,0
2700061216,20210706,0,0
7172008503,20210706,0,0
1816,20210706,0,0
7426502301,20210706,0,0
3331422222,20210706,0,0
81369502104,20210706,0,0
7236827424,20210706,0,0
8949796347,20210706,0,0
75365671875,20210706,0,0
6906500085,20210706,0,0
69969400113,20210706,0,0
89802800125,20210706,0,0
79954001153,20210706,0,0
87409700023,20210706,0,0
28100400000,20210706,0,0
3700077131,20210706,0,16
7630172216,20210706,0,7
81410001301,20210706,0,8
4525511848,20210706,0,3
3114235900,20210706,0,111
81829001698,20210706,0,77
4850020183,20210706,1,98
8281591558,20210706,0,5
64857000490,20210706,0,3
7618300310,20210706,0,53
4100000271,20210706,0,13
7236839361,20210706,0,4
3150000239,20210706,0,6
20285000000,20210706,0,11
4722307103,20210706,0,2
1820005989,20210706,0,13
5210003639,20210706,0,4
5100027655,20210706,0,6
7756728323,20210706,1,23
3889749111,20210706,0,18
60265217011,20210706,0,11
3746608323,20210706,0,6
1450001352,20210706,0,21
3800040340,20210706,0,51
3663201944,20210706,0,3
60265217058,20210706,0,10
3732312724,20210706,0,4
1480058205,20210706,0,40
4116701056,20210706,0,3
7323000033,20210706,0,3
1111587132,20210706,0,121
4100000890,20210706,0,9
4650076953,20210706,0,15
7680853360,20210706,0,19
64044530001,20210706,0,2
1920095871,20210706,0,22
3680041554,20210706,0,0
68765217229,20210706,0,0
82699804099,20210706,0,0
60155799248,20210706,0,0
7800000911,20210706,0,0
3700044980,20210706,0,0
74228780211,20210706,0,0
89632100959,20210706,0,0
